date,cash,market_value,total_nav,return_pct,sh_close
20260901,100475.4,0,100475.4,0,3979.89
20260902,100475.4,0,100475.4,0,3941.39
20260903,100475.4,0,100475.4,0,3942.09
20260904,100475.4,0,100475.4,0,3930.12
20260907,80983.53,19782,100765.53,0.29,3932.7
20260908,80983.53,19565,100548.53,0.07,3940.55
20260909,80983.53,19530,100513.53,0.04,3951.51
20260910,80983.53,19533,100516.53,0.04,3934.4
20260911,99970.28,0,99970.28,-0.5,3888.11
20260914,99970.28,0,99970.28,-0.5,3885.33
20260915,99970.28,0,99970.28,-0.5,3864.28
20260916,99970.28,0,99970.28,-0.5,3891.6
20260917,99970.28,0,99970.28,-0.5,3875.6
20260918,99970.28,0,99970.28,-0.5,3911.87
