date,cash,market_value,total_nav,return_pct,sh_close
20260921,100475.40,0.00,100475.4,0.00,3949.907
20260922,90592.93,10361.00,100953.93,0.48,3952.128
20260923,90574.25,9464.00,100038.25,-0.44,3936.52
